IDs         length   Exptl.  resolution  R-factor FreeRvalue
3RVVC       213      XRAY        1.900    0.15    0.20
3L7EL       214      XRAY        2.500    0.20    0.25
1E6OL       212      XRAY        1.800    0.23    0.26
1FVDA       214      XRAY        2.500    0.18    1.00
1QP1B       107      XRAY        2.060    0.18    0.21
1U91A       214      XRAY        2.240    0.23    0.23
3FO2A       219      XRAY        2.180    0.20    0.26
1KB5L       214      XRAY        2.500    0.22    1.00
3DUSC       112      XRAY        1.950    0.26    0.28
3MCLL       212      XRAY        1.700    0.20    0.26
3LVEA       114      XRAY        2.000    0.18    0.25
1MH5L       219      XRAY        2.100    0.22    0.29
3V6OF       215      XRAY        1.950    0.17    0.21
1CFNA       214      XRAY        2.650    0.28    0.33
2BRRL       215      XRAY        1.950    0.20    0.24
1MFDL       215      XRAY        2.100    0.18    1.00
1UWXK       213      XRAY        2.200    0.23    0.27
1HZHM       215      XRAY        2.700    0.23    0.27
2PCPC       216      XRAY        2.200    0.20    0.29
2QHRL       218      XRAY        2.000    0.20    0.24
1SVZA       247      XRAY        1.890    0.20    0.24
1MJJL       219      XRAY        2.100    0.18    0.26
1EK3B       114      XRAY        1.900    0.19    0.24
2P8LA       214      XRAY        2.440    0.20    0.23
1BFOA       214      XRAY        2.600    0.19    0.26
1YMHC       220      XRAY        2.600    0.23    0.30
3BD3B       112      XRAY        1.600    0.23    0.27
3GM0A       257      XRAY        2.400    0.21    0.27
2G75D       213      XRAY        2.280    0.22    0.28
2OLDA       217      XRAY        2.600    0.22    0.25
3NIDL       214      XRAY        2.300    0.18    0.21
1PEWA       109      XRAY        1.600    0.29    0.27
2MPAL       219      XRAY        2.600    0.20    0.26
1DCLB       216      XRAY        2.300    0.14    1.00
3A67L       107      XRAY        1.800    0.19    0.23
1OAXL       110      XRAY        2.670    0.24    0.28
1BFOE       214      XRAY        2.600    0.19    0.26
1U8IA       214      XRAY        2.000    0.23    0.25
1DBML       216      XRAY        2.700    0.22    1.00
3GKWL       219      XRAY        2.500    0.22    0.28
2HKFL       219      XRAY        2.010    0.18    0.24
3CFKM       216      XRAY        2.600    0.22    0.24
3LRHO       121      XRAY        2.600    0.22    0.28
2F5AL       213      XRAY        2.050    0.23    0.27
2OTWC       115      XRAY        2.350    0.23    0.26
1U8MA       214      XRAY        2.400    0.22    0.23
3JUYA       256      XRAY        2.500    0.20    0.26
1P4IL       135      XRAY        2.800    0.20    0.26
3MNWA       224      XRAY        2.200    0.19    0.25
1EEUA       114      XRAY        1.600    0.19    0.22
1MQKL       120      XRAY        1.280    0.14    0.20
1UZ8L       218      XRAY        1.800    0.21    0.25
3BJ91       116      XRAY        2.000    0.18    0.23
3FO9L       219      XRAY        1.900    0.22    0.25
2Z93D       213      XRAY        2.400    0.30    0.34
2YBRB       146      XRAY        2.550    0.20    0.25
2Y07L       211      XRAY        2.400    0.23    0.26
1ETZA       215      XRAY        2.600    0.21    0.29
2D03L       217      XRAY        1.970    0.22    0.26
1RHHC       215      XRAY        1.900    0.22    0.23
2Y6SL       217      XRAY        2.800    0.24    0.29
2O5ZL       219      XRAY        2.400    0.17    0.22
3EHBD       120      XRAY        2.320    0.21    0.24
1ZEAL       216      XRAY        1.780    0.20    0.25
3EOTL       215      XRAY        1.900    0.24    0.27
3GHEL       217      XRAY        2.400    0.19    0.24
3QHZM       217      XRAY        1.550    0.18    0.21
3OR6B       212      XRAY        2.700    0.23    0.27
3GBML       221      XRAY        2.700    0.21    0.26
2AJXL       216      XRAY        1.850    0.23    0.26
3C6SA       219      XRAY        1.800    0.19    0.25
3JUYF       256      XRAY        2.500    0.20    0.26
3EYQC       216      XRAY        2.400    0.25    0.27
1A4JA       217      XRAY        2.100    0.23    0.29
1IVLA       107      XRAY        2.170    0.17    1.00
3SE8L       209      XRAY        1.900    0.19    0.23
3T2NM       215      XRAY        2.550    0.24    0.28
1NGZA       213      XRAY        1.600    0.21    0.23
1UM4L       219      XRAY        1.800    0.22    0.25
4DKFL       214      XRAY        2.610    0.23    0.26
1A6VM       110      XRAY        1.800    0.30    1.00
1DEEC       214      XRAY        2.700    0.23    0.28
3MACL       213      XRAY        2.500    0.20    0.26
2IH1B       212      XRAY        2.400    0.23    0.25
1MCLA       216      XRAY        2.700    0.19    1.00
2BX5L       107      XRAY        2.700    0.25    0.29
1FNSL       214      XRAY        2.000    0.17    0.21
1Y18L       216      XRAY        2.800    0.22    0.25
2NLJA       212      XRAY        2.520    0.23    0.26
1AXTL       216      XRAY        2.150    0.21    0.32
1YYLQ       214      XRAY        2.750    0.20    0.28
1GC1L       213      XRAY        2.500    0.21    0.30
1A7OL       106      XRAY        2.000    0.17    1.00
1YMHA       220      XRAY        2.600    0.23    0.30
3MLSN       219      XRAY        2.500    0.22    0.27
2FX9L       214      XRAY        2.100    0.24    0.27
3FN0L       212      XRAY        1.800    0.21    0.25
1FE8M       211      XRAY        2.030    0.23    0.26
2F58L       216      XRAY        2.800    0.18    0.30
1BJ1J       214      XRAY        2.400    0.20    0.27
1OAZN       110      XRAY        2.780    0.21    0.28
3JUYC       256      XRAY        2.500    0.20    0.26
1T4KA       217      XRAY        2.500    0.23    0.28
2ADFL       209      XRAY        1.900    0.19    0.22
1FVEC       214      XRAY        2.700    0.17    1.00
3C2AM       216      XRAY        2.100    0.24    0.30
3MLRL       219      XRAY        1.800    0.18    0.22
3BZ4A       219      XRAY        1.800    0.18    0.23
3NA9L       214      XRAY        1.700    0.17    0.20
3QOSA       220      XRAY        2.000    0.20    0.23
3LEVL       214      XRAY        2.500    0.21    0.25
3TCLB       215      XRAY        1.910    0.20    0.24
1A6WL       109      XRAY        2.000    0.17    1.00
1AP2A       113      XRAY        2.360    0.20    0.28
3CFBA       219      XRAY        1.600    0.19    0.22
3LH2L       114      XRAY        2.650    0.22    0.27
3IKCC       218      XRAY        2.600    0.24    0.29
1R3IL       212      XRAY        2.400    0.22    0.24
2AJZL       216      XRAY        2.300    0.24    0.28
1FL5A       217      XRAY        2.100    0.24    0.27
1OAYO       110      XRAY        2.660    0.23    0.28
4D9RL       214      XRAY        2.420    0.21    0.25
3QO0A       219      XRAY        2.300    0.17    0.22
3UTZA       219      XRAY        2.180    0.23    0.29
1P2CA       212      XRAY        2.000    0.20    0.24
2VXVL       214      XRAY        1.490    0.15    0.18
2BX5E       107      XRAY        2.700    0.25    0.29
3RA7M       214      XRAY        2.800    0.20    0.23
43CAA       113      XRAY        2.300    0.21    0.26
2IPUK       219      XRAY        1.650    0.18    0.23
1VFAA       108      XRAY        1.800    0.16    1.00
2Y6SC       217      XRAY        2.800    0.24    0.29
3B5GB       111      XRAY        1.900    0.17    0.21
3AUVC       276      XRAY        2.400    0.22    0.25
2GCYA       216      XRAY        2.500    0.23    0.23
2VXUM       214      XRAY        2.360    0.19    0.24
1NDGA       214      XRAY        1.900    0.21    0.25
1LO0X       219      XRAY        2.000    0.21    0.26
1KN2L       219      XRAY        1.900    0.21    0.24
3KYMM       214      XRAY        2.620    0.27    0.34
2ZNXB       242      XRAY        2.300    0.20    0.23
2CJUL       113      XRAY        2.500    0.24    0.29
1MHHA       220      XRAY        2.100    0.20    0.25
1RUKL       219      XRAY        1.400    0.17    0.21
1PW3A       111      XRAY        1.900    0.24    0.23
1BJMB       216      XRAY        2.200    0.16    1.00
1B0WC       108      XRAY        1.800    0.23    0.30
3NIFF       214      XRAY        2.400    0.18    0.22
3E8UL       216      XRAY        2.100    0.19    0.24
1MFBL       215      XRAY        2.100    0.16    1.00
3NIGF       214      XRAY        2.250    0.17    0.21
2NY1C       214      XRAY        1.990    0.21    0.25
3LRSD       211      XRAY        2.370    0.21    0.26
3DRQA       214      XRAY        2.000    0.23    0.25
1ZA6C       220      XRAY        2.800    0.25    0.30
3MUGG       216      XRAY        2.490    0.21    0.25
3NACL       214      XRAY        1.800    0.19    0.21
1VGEL       214      XRAY        2.000    0.18    1.00
2G5BC       217      XRAY        2.300    0.23    0.28
1R3KA       212      XRAY        2.800    0.24    0.27
1U8QA       214      XRAY        2.240    0.23    0.24
2G60L       216      XRAY        1.850    0.24    0.28
3T0XA       123      XRAY        1.960    0.21    0.24
1BZ7A       206      XRAY        2.500    0.16    1.00
3KYMO       214      XRAY        2.620    0.27    0.34
1Q9LC       219      XRAY        2.280    0.22    0.29
1J1PL       107      XRAY        1.800    0.19    0.21
3G6AA       213      XRAY        2.100    0.21    0.28
1FVDC       214      XRAY        2.500    0.18    1.00
1I8ML       214      XRAY        2.100    0.23    0.26
1AJ7L       214      XRAY        2.100    0.22    0.26
3GI9L       220      XRAY        2.480    0.25    0.30
3U6RB       143      XRAY        2.670    0.20    0.23
3U4EL       216      XRAY        2.190    0.18    0.23
3CDFF       109      XRAY        1.530    0.19    0.23
1WC7A       213      XRAY        2.330    0.22    0.31
3DURA       112      XRAY        1.860    0.18    0.25
2LVEA       114      XRAY        2.700    0.21    0.26
4D9LL       215      XRAY        2.480    0.18    0.24
3T0WA       123      XRAY        1.500    0.15    0.18
3GO1L       209      XRAY        1.890    0.19    0.21
3LHPL       114      XRAY        2.700    0.25    0.34
2BX5N       107      XRAY        2.700    0.25    0.29
1OAXO       110      XRAY        2.670    0.24    0.28
3NZHL       214      XRAY        2.000    0.20    0.24
3NH7M       213      XRAY        2.700    0.24    0.28
1MRDL       219      XRAY        2.300    0.20    1.00
3MBXL       220      XRAY        1.600    0.21    0.23
3QOSL       220      XRAY        2.000    0.20    0.23
1MCCB       216      XRAY        2.700    0.20    1.00
1CZ8X       213      XRAY        2.400    0.21    0.27
1T66L       219      XRAY        2.300    0.20    0.25
3MXWL       214      XRAY        1.830    0.18    0.22
3QWOL       213      XRAY        1.900    0.19    0.23
2FJGA       214      XRAY        2.800    0.21    0.24
3O6ML       219      XRAY        2.400    0.21    0.29
3IJHC       219      XRAY        2.100    0.21    0.25
2Z92B       213      XRAY        2.300    0.23    0.27
1AI1L       215      XRAY        2.800    0.22    1.00
3BKYL       213      XRAY        2.610    0.24    0.30
1A3LL       217      XRAY        1.950    0.19    0.27
3JWDL       213      XRAY        2.610    0.20    0.28
3HR5P       219      XRAY        2.400    0.21    0.25
1DQDL       221      XRAY        2.100    0.22    0.32
1LK3L       210      XRAY        1.910    0.19    0.24
3IDIA       214      XRAY        2.100    0.21    0.23
3LRHC       121      XRAY        2.600    0.22    0.28
2YK1L       216      XRAY        1.850    0.23    0.26
3O0RL       213      XRAY        2.700    0.19    0.25
1D5BL       211      XRAY        2.800    0.24    0.28
3PP3L       219      XRAY        2.510    0.21    0.27
1UZ6E       218      XRAY        2.050    0.20    0.24
1HH6A       214      XRAY        2.600    0.29    0.34
2GJJA       264      XRAY        2.100    0.19    0.23
1MJUL       219      XRAY        1.220    0.12    0.15
1MCRB       216      XRAY        2.700    0.20    1.00
2OTWA       115      XRAY        2.350    0.23    0.26
1I7ZC       219      XRAY        2.300    0.22    0.27
3MO1A       224      XRAY        1.800    0.19    0.22
1BQLL       212      XRAY        2.600    0.19    0.29
2BJML       110      XRAY        2.150    0.27    0.29
1BFOC       214      XRAY        2.600    0.19    0.26
3MLTA       219      XRAY        2.490    0.21    0.28
1UWXL       213      XRAY        2.200    0.23    0.27
3EO9L       214      XRAY        1.800    0.19    0.22
2W0LB       111      XRAY        2.200    0.21    0.24
2NY0C       214      XRAY        2.200    0.20    0.24
3EYVL       219      XRAY        2.500    0.21    0.26
3OKEA       219      XRAY        2.400    0.23    0.29
1T2QL       217      XRAY        1.830    0.20    0.25
2E27L       119      XRAY        1.700    0.20    0.21
1Q9KA       219      XRAY        1.960    0.23    0.28
3CFKO       216      XRAY        2.600    0.22    0.24
3NIFL       214      XRAY        2.400    0.18    0.22
1B6DB       212      XRAY        2.740    0.21    0.27
2AJ3A       213      XRAY        2.030    0.23    0.27
2NY6C       214      XRAY        2.800    0.20    0.28
3IJHA       219      XRAY        2.100    0.21    0.25
1MF2M       215      XRAY        2.600    0.21    0.31
3LS5L       215      XRAY        1.900    0.21    0.24
1FL6A       217      XRAY        2.800    0.24    0.27
1UWEL       213      XRAY        2.670    0.22    0.27
1NC2A       215      XRAY        2.100    0.23    0.25
1K4CB       212      XRAY        2.000    0.22    0.23
1PG7Y       210      XRAY        2.500    0.22    0.27
2C1PA       218      XRAY        2.000    0.23    0.28
1RMFL       219      XRAY        2.800    0.19    1.00
2VDLL       214      XRAY        2.750    0.15    0.19
2Z93B       213      XRAY        2.400    0.30    0.34
2PR4L       214      XRAY        2.050    0.24    0.27
1MOEA       240      XRAY        2.600    0.25    0.30
3B9KC       213      XRAY        2.700    0.24    0.28
2DQJL       107      XRAY        1.800    0.19    0.22
1B6DA       212      XRAY        2.740    0.21    0.27
3LD8B       220      XRAY        2.700    0.23    0.26
3P0YL       214      XRAY        1.800    0.18    0.21
1LO2L       219      XRAY        2.000    0.21    0.25
3MCKA       219      XRAY        2.300    0.20    0.25
2FJFS       214      XRAY        2.650    0.20    0.25
43CAC       113      XRAY        2.300    0.21    0.26
1NCCL       214      XRAY        2.500    0.21    1.00
1KC5L       214      XRAY        2.500    0.20    0.27
1J1XL       107      XRAY        1.800    0.19    0.22
3UYPA       253      XRAY        2.000    0.18    0.20
2BRRX       215      XRAY        1.950    0.20    0.24
1EFQA       114      XRAY        1.600    0.23    0.29
3HR5L       219      XRAY        2.400    0.21    0.25
3FO0L       219      XRAY        2.500    0.22    0.28
2EIZA       107      XRAY        1.900    0.21    0.25
1IT9L       214      XRAY        2.800    0.20    0.28
1DBAL       216      XRAY        2.800    0.20    1.00
3UZEA       253      XRAY        2.040    0.22    0.23
3EO0A       215      XRAY        1.750    0.18    0.20
2HMIC       214      XRAY        2.800    0.27    0.35
1KB9K       107      XRAY        2.300    0.22    0.25
3UC0L       215      XRAY        2.710    0.22    0.25
2CD0B       111      XRAY        1.800    0.29    0.35
1G7LA       107      XRAY        2.000    0.21    0.24
3PNWS       228      XRAY        2.050    0.22    0.26
2A6JL       214      XRAY        2.700    0.23    0.27
1TZHA       213      XRAY        2.600    0.21    0.27
1FVCC       109      XRAY        2.200    0.18    1.00
3A6BL       107      XRAY        1.800    0.19    0.22
3MNVA       224      XRAY        2.400    0.18    0.23
2FJGL       214      XRAY        2.800    0.21    0.24
2BX5D       107      XRAY        2.700    0.25    0.29
3KDMA       218      XRAY        1.500    0.18    0.21
3Q6GM       209      XRAY        1.900    0.19    0.23
3BD5B       112      XRAY        2.000    0.22    0.28
1M7IA       215      XRAY        2.500    0.22    0.28
1UM5L       219      XRAY        1.600    0.20    0.25
3SE9L       208      XRAY        2.000    0.19    0.23
1F4XL       210      XRAY        2.300    0.18    0.25
3LRSB       211      XRAY        2.370    0.21    0.26
2IGFL       219      XRAY        2.800    0.22    1.00
2G75B       213      XRAY        2.280    0.22    0.28
1R3LA       212      XRAY        2.410    0.22    0.25
2GK0L       217      XRAY        2.450    0.24    0.26
1MREL       219      XRAY        2.300    0.19    1.00
2NY3C       214      XRAY        2.000    0.20    0.24
2AI0O       217      XRAY        2.200    0.23    0.28
1MCSA       216      XRAY        2.700    0.18    1.00
2ADGA       214      XRAY        2.500    0.24    0.24
1MCDB       216      XRAY        2.700    0.19    1.00
2XKNC       223      XRAY        1.400    0.14    0.18
1BREF       108      XRAY        2.000    0.22    0.34
2P8PA       214      XRAY        2.700    0.24    0.27
1DEEE       214      XRAY        2.700    0.23    0.28
2J88L       213      XRAY        2.600    0.21    0.25
3BKJL       252      XRAY        1.590    0.21    0.23
3NZ8L       218      XRAY        2.700    0.23    0.27
3L95L       214      XRAY        2.190    0.23    0.27
3C2AL       216      XRAY        2.100    0.24    0.30
3FFDB       220      XRAY        2.000    0.22    0.27
1REIB       107      XRAY        2.000    0.24    1.00
3O41L       218      XRAY        1.950    0.18    0.22
3O11A       212      XRAY        2.800    0.22    0.30
1Y0LA       216      XRAY        2.500    0.21    0.24
1WC7L       213      XRAY        2.330    0.22    0.31
1U8HA       214      XRAY        2.100    0.22    0.24
3N9GL       220      XRAY        1.430    0.17    0.19
1GPOL       219      XRAY        1.950    0.21    0.28
2FJFL       214      XRAY        2.650    0.20    0.25
1C08A       107      XRAY        2.300    0.17    0.17
1E4XL       214      XRAY        1.900    0.24    0.31
3HC0L       213      XRAY        1.900    0.18    0.21
1EJOL       216      XRAY        2.300    0.25    0.26
2NXYC       214      XRAY        2.000    0.18    0.23
3G5XC       214      XRAY        2.300    0.23    0.29
3QEHB       218      XRAY        2.590    0.22    0.25
1YNKL       219      XRAY        2.100    0.22    0.28
1MCNB       216      XRAY        2.700    0.18    1.00
1UWGX       213      XRAY        2.790    0.21    0.28
2YBRE       146      XRAY        2.550    0.20    0.25
3OAZK       213      XRAY        1.750    0.18    0.22
1A5FL       220      XRAY        2.800    0.20    1.00
3IXTL       213      XRAY        2.750    0.22    0.27
3NH7N       213      XRAY        2.700    0.24    0.28
2Z4QA       219      XRAY        2.300    0.19    0.23
1KIQA       107      XRAY        1.850    0.18    1.00
1ZLUL       211      XRAY        2.750    0.22    0.29
3G6AL       213      XRAY        2.100    0.21    0.28
3IETC       217      XRAY        2.200    0.23    0.27
3GBNL       221      XRAY        2.200    0.21    0.24
2FR4A       214      XRAY        1.950    0.21    0.26
1AXSL       211      XRAY        2.600    0.20    0.30
1MHPY       212      XRAY        2.800    0.24    0.27
1R0AL       211      XRAY        2.800    0.24    0.27
1LILA       212      XRAY        2.650    0.20    0.34
2EH7L       219      XRAY        2.500    0.21    0.25
3HI5L       212      XRAY        2.500    0.24    0.28
1RULL       219      XRAY        1.880    0.21    0.28
1OPGL       214      XRAY        2.000    0.16    1.00
2Q76A       212      XRAY        2.000    0.20    0.23
3CFJL       216      XRAY        2.600    0.20    0.25
1NJ9A       212      XRAY        2.350    0.20    0.28
2H9GL       214      XRAY        2.320    0.23    0.28
1N4XM       113      XRAY        1.700    0.23    0.26
3PNWA       228      XRAY        2.050    0.22    0.26
1IGFM       219      XRAY        2.800    0.18    1.00
3FCTC       213      XRAY        2.400    0.21    0.29
1EAPA       213      XRAY        2.400    0.19    1.00
3QG7L       216      XRAY        2.780    0.20    0.24
2CK0L       216      XRAY        2.200    0.20    0.30
1FGVL       109      XRAY        1.900    0.18    1.00
1UACL       107      XRAY        1.700    0.15    0.25
2H32A       126      XRAY        2.700    0.27    0.29
3NABL       214      XRAY        2.320    0.21    0.26
2VXSL       216      XRAY        2.630    0.21    0.26
3OJDA       214      XRAY        2.000    0.21    0.24
1FE8N       211      XRAY        2.030    0.23    0.26
2VXSM       216      XRAY        2.630    0.21    0.26
1PSKL       213      XRAY        2.800    0.20    0.33
3IFLL       219      XRAY        1.500    0.18    0.21
1C12A       214      XRAY        2.600    0.20    0.27
3CDCA       109      XRAY        1.530    0.19    0.23
3C6SE       219      XRAY        1.800    0.19    0.25
1YEKL       219      XRAY        2.100    0.20    0.24
3OKNA       219      XRAY        2.150    0.22    0.27
3DV4A       112      XRAY        1.950    0.27    0.34
2FJFA       214      XRAY        2.650    0.20    0.25
3BJLB       216      XRAY        2.300    0.17    1.00
3PP4L       219      XRAY        1.600    0.14    0.19
2BOBB       212      XRAY        2.760    0.22    0.25
3PHOA       217      XRAY        2.600    0.22    0.28
1Y18C       216      XRAY        2.800    0.22    0.25
1LMKC       238      XRAY        2.600    0.20    1.00
2XTJB       107      XRAY        2.700    0.20    0.26
1RUPL       219      XRAY        1.400    0.16    0.21
1G7MA       107      XRAY        1.900    0.19    0.23
2YSSA       107      XRAY        2.400    0.22    0.27
3LRHK       121      XRAY        2.600    0.22    0.28
1I9JL       219      XRAY        2.600    0.19    0.26
2VDOL       214      XRAY        2.510    0.15    0.19
1OAKL       212      XRAY        2.200    0.20    0.27
3MUGE       216      XRAY        2.490    0.21    0.25
1FRGL       217      XRAY        2.800    0.19    1.00
2BX5I       107      XRAY        2.700    0.25    0.29
3BDYL       218      XRAY        2.600    0.20    0.25
3JUYE       256      XRAY        2.500    0.20    0.26
3BJLA       216      XRAY        2.300    0.17    1.00
1FGNL       214      XRAY        2.500    0.22    0.30
1SBSL       220      XRAY        2.000    0.18    0.24
3CLEL       214      XRAY        2.500    0.23    0.27
1D6VL       211      XRAY        2.000    0.22    0.26
1MCQA       216      XRAY        2.700    0.20    1.00
3KS0L       214      XRAY        2.700    0.22    0.29
3AUVD       276      XRAY        2.400    0.22    0.25
1CD0A       111      XRAY        1.900    0.18    0.24
2JB5L       216      XRAY        2.800    0.21    0.27
3CDFD       109      XRAY        1.530    0.19    0.23
3T0XB       123      XRAY        1.960    0.21    0.24
3ESVG       252      XRAY        2.000    0.19    0.23
3DVNA       217      XRAY        2.700    0.22    0.27
3MLVL       219      XRAY        2.480    0.24    0.34
1IKFL       214      XRAY        2.500    0.16    1.00
3LHPM       114      XRAY        2.700    0.25    0.34
3DETD       211      XRAY        2.800    0.26    0.30
1H8OA       252      XRAY        2.750    0.18    0.26
1YEEL       219      XRAY        2.200    0.20    0.26
1J05A       111      XRAY        1.500    0.19    0.22
3GHBM       216      XRAY        2.250    0.20    0.23
1HH9A       214      XRAY        2.700    0.28    0.33
2ZNWA       242      XRAY        2.710    0.20    0.25
1ZA6A       220      XRAY        2.800    0.25    0.30
2R23A       219      XRAY        1.650    0.23    0.26
3EYVA       219      XRAY        2.500    0.21    0.26
1HQ4C       215      XRAY        2.700    0.23    0.27
2W0KA       111      XRAY        2.350    0.21    0.24
1XF5A       220      XRAY        2.600    0.20    0.24
3MOAL       214      XRAY        2.300    0.19    0.22
3MCG1       216      XRAY        2.000    0.21    1.00
2JK5B       212      XRAY        2.400    0.20    0.25
2OQJD       211      XRAY        2.800    0.24    0.28
3CFKG       216      XRAY        2.600    0.22    0.24
1AD0C       213      XRAY        2.500    0.21    0.26
2FX8N       214      XRAY        2.200    0.23    0.28
1G7HA       107      XRAY        1.850    0.20    1.00
3IDMA       214      XRAY        2.240    0.23    0.24
2AJYL       216      XRAY        2.100    0.23    0.25
1GIGL       210      XRAY        2.300    0.20    1.00
2Z91B       213      XRAY        2.600    0.22    0.27
1D5IL       211      XRAY        2.000    0.23    0.26
1CFVL       113      XRAY        2.100    0.18    0.25
3DIFA       214      XRAY        2.400    0.22    0.29
1MHPL       212      XRAY        2.800    0.24    0.27
1N7MH       213      XRAY        1.800    0.22    0.25
1RUAL       219      XRAY        1.750    0.19    0.25
1A4JL       217      XRAY        2.100    0.23    0.29
3QNYC       219      XRAY        2.300    0.19    0.22
3CFJE       216      XRAY        2.600    0.20    0.25
12E8L       214      XRAY        1.900    0.22    0.27
1TETL       216      XRAY        2.300    0.15    1.00
2Q1EC       109      XRAY        2.550    0.17    0.21
1MCFB       216      XRAY        2.700    0.19    1.00
1A7PL       107      XRAY        2.010    0.17    1.00
3IFOB       219      XRAY        2.150    0.17    0.22
3S34L       214      XRAY        2.200    0.18    0.22
1A4KA       217      XRAY        2.400    0.21    0.29
1EZVY       107      XRAY        2.300    0.22    0.25
3GGWA       219      XRAY        1.700    0.20    0.24
2FR4L       214      XRAY        1.950    0.21    0.26
1A14L       104      XRAY        2.500    0.20    0.27
1U8JA       214      XRAY        2.240    0.23    0.24
2R0LL       214      XRAY        2.200    0.20    0.25
3Q3GC       220      XRAY        2.700    0.21    0.24
3OKMA       219      XRAY        2.400    0.23    0.31
3MLVM       219      XRAY        2.480    0.24    0.34
1MFAL       127      XRAY        1.700    0.17    1.00
1UCBL       219      XRAY        2.500    0.20    0.28
3EYOA       216      XRAY        2.500    0.24    0.27
1WCBA       213      XRAY        2.500    0.22    0.29
3LH2O       114      XRAY        2.650    0.22    0.27
1YEHL       219      XRAY        2.550    0.18    0.23
1BWWA       109      XRAY        1.700    0.18    0.22
1LGVA       216      XRAY        1.950    0.20    0.24
3T3ML       214      XRAY        2.600    0.18    0.22
1YQVL       211      XRAY        1.700    0.20    0.23
1FN4C       211      XRAY        2.800    0.20    0.29
2AI0L       217      XRAY        2.200    0.23    0.28
1U95A       214      XRAY        2.240    0.21    0.24
1MOEB       240      XRAY        2.600    0.25    0.30
2DQCL       107      XRAY        1.800    0.19    0.22
1TPXC       219      XRAY        2.560    0.22    0.28
2CD0A       111      XRAY        1.800    0.29    0.35
2C1PL       218      XRAY        2.000    0.23    0.28
3SGDI       219      XRAY        2.310    0.18    0.23
1RZGD       214      XRAY        2.000    0.20    0.25
2MCG1       216      XRAY        2.000    0.19    1.00
1NC2C       215      XRAY        2.100    0.23    0.25
1RURL       217      XRAY        1.500    0.19    0.24
2FJFJ       214      XRAY        2.650    0.20    0.25
3MNVC       224      XRAY        2.400    0.18    0.23
2EH8L       218      XRAY        2.600    0.19    0.26
1MEXL       213      XRAY        1.250    0.15    0.21
1WT5C       122      XRAY        2.100    0.27    0.30
2FJFG       214      XRAY        2.650    0.20    0.25
1YEJL       219      XRAY        1.850    0.21    0.25
1K4DB       212      XRAY        2.300    0.22    0.23
1MCQB       216      XRAY        2.700    0.20    1.00
3MLTL       219      XRAY        2.490    0.21    0.28
1MF2L       215      XRAY        2.600    0.21    0.31
3EYUL       219      XRAY        2.710    0.18    0.25
3MXVL       214      XRAY        1.900    0.18    0.22
2UYLA       219      XRAY        2.500    0.21    0.26
1DBBL       216      XRAY        2.700    0.21    1.00
1TQBC       219      XRAY        2.550    0.22    0.27
3INUN       217      XRAY        2.500    0.20    0.25
2DQIL       107      XRAY        2.000    0.22    0.26
2Y36L       211      XRAY        2.700    0.23    0.25
2W0FB       212      XRAY        2.400    0.20    0.24
2HKHL       219      XRAY        2.100    0.22    0.27
3GJFL       212      XRAY        1.900    0.20    0.25
1QBML       214      XRAY        2.370    0.19    0.27
1KCVL       214      XRAY        1.800    0.20    0.23
2D7TL       116      XRAY        1.700    0.19    0.21
2DQEL       107      XRAY        1.900    0.19    0.22
1A7NL       107      XRAY        2.010    0.15    1.00
1DLFL       113      XRAY        1.450    0.18    0.23
1SVZB       247      XRAY        1.890    0.20    0.24
1F58L       216      XRAY        2.000    0.20    0.26
1TZIA       214      XRAY        2.800    0.22    0.25
1J1OL       107      XRAY        1.800    0.19    0.21
3MLYL       214      XRAY        1.700    0.18    0.21
43CAE       113      XRAY        2.300    0.21    0.26
1C5BL       214      XRAY        2.100    0.19    0.24
2IQ9L       219      XRAY        2.300    0.21    0.28
2GJZL       217      XRAY        2.650    0.21    0.25
3MLWM       215      XRAY        2.700    0.22    0.29
3KYMA       214      XRAY        2.620    0.27    0.34
1BRED       108      XRAY        2.000    0.22    0.34
3NGBK       210      XRAY        2.680    0.20    0.26
3T0VA       123      XRAY        1.450    0.18    0.21
1ND0G       219      XRAY        2.450    0.24    0.29
1DZBA       253      XRAY        2.000    0.23    0.31
3RPIL       206      XRAY        2.650    0.21    0.26
3HC3L       213      XRAY        1.720    0.16    0.19
1AD0A       213      XRAY        2.500    0.21    0.26
3HZYA       219      XRAY        2.100    0.22    0.26
43C9A       113      XRAY        2.200    0.21    0.27
1BOGA       214      XRAY        2.600    0.25    0.31
2RHEA       114      XRAY        1.600    0.15    1.00
2PW1A       214      XRAY        2.600    0.21    0.24
2DWEB       212      XRAY        2.500    0.24    0.27
3QCVM       218      XRAY        2.510    0.22    0.27
3PNWV       228      XRAY        2.050    0.22    0.26
1V7ML       213      XRAY        2.510    0.23    0.32
1ZLVK       211      XRAY        2.330    0.21    0.25
3OKDA       219      XRAY        1.800    0.23    0.28
3Q3GF       220      XRAY        2.700    0.21    0.24
3SKJL       214      XRAY        2.500    0.22    0.27
3RU8L       215      XRAY        2.070    0.17    0.20
3GJEL       212      XRAY        2.300    0.23    0.30
2BDNL       214      XRAY        2.530    0.22    0.28
2R2HA       219      XRAY        2.000    0.22    0.26
3GNML       219      XRAY        2.100    0.19    0.26
1IGIL       219      XRAY        2.700    0.18    1.00
3SGEI       219      XRAY        1.890    0.18    0.21
1LO3X       219      XRAY        2.300    0.21    0.26
