IDs         length   Exptl.  resolution  R-factor FreeRvalue
2H9GB       228      XRAY        2.320    0.23    0.28
2XQYJ       261      XRAY        2.050    0.19    0.20
1RZ8B       228      XRAY        2.300    0.21    0.26
1A6UH       120      XRAY        2.100    0.19    1.00
1UZ8H       212      XRAY        1.800    0.21    0.25
3QPXH       228      XRAY        2.000    0.23    0.26
3U1SH       267      XRAY        2.300    0.20    0.23
3IETD       218      XRAY        2.200    0.23    0.27
1U95B       235      XRAY        2.240    0.21    0.24
1MFDH       219      XRAY        2.100    0.18    1.00
2XV6B       121      XRAY        1.890    0.18    0.20
1FE8J       210      XRAY        2.030    0.23    0.26
3LS4H       219      XRAY        2.000    0.22    0.26
1MJ8H       230      XRAY        1.750    0.15    0.22
2Y6SH       213      XRAY        2.800    0.24    0.29
1F2XL       135      XRAY        2.100    0.19    0.27
3K7UA       128      XRAY        2.100    0.20    0.27
3O11H       228      XRAY        2.800    0.22    0.30
1FLRH       219      XRAY        1.850    0.19    1.00
2X1PC       127      XRAY        1.100    0.20    0.22
3PP3I       224      XRAY        2.510    0.21    0.27
1KCVH       217      XRAY        1.800    0.20    0.23
2FJFP       227      XRAY        2.650    0.20    0.25
3JUYF       256      XRAY        2.500    0.20    0.26
1DN0D       232      XRAY        2.280    0.18    0.24
2OR9H       228      XRAY        2.700    0.25    0.31
2A1WH       225      XRAY        2.700    0.19    0.25
1JGUH       217      XRAY        1.800    0.21    0.23
3T77B       224      XRAY        1.740    0.21    0.24
1KXVC       121      XRAY        1.600    0.20    0.23
3OJDB       224      XRAY        2.000    0.21    0.24
3GJEB       220      XRAY        2.300    0.23    0.30
1A7PH       116      XRAY        2.010    0.17    1.00
3O41H       220      XRAY        1.950    0.18    0.22
3L5YH       228      XRAY        2.800    0.21    0.27
2VH5H       114      XRAY        2.700    0.21    0.29
3R0MA       143      XRAY        1.500    0.19    0.22
2H32H       223      XRAY        2.700    0.27    0.29
1F3DH       217      XRAY        1.870    0.20    0.22
3EYOD       242      XRAY        2.500    0.24    0.27
1UB6A       208      XRAY        2.120    0.26    0.29
3G5YB       216      XRAY        1.590    0.20    0.25
1DQLH       123      XRAY        2.600    0.19    0.26
3FZUH       223      XRAY        2.500    0.21    0.26
1BZQN       124      XRAY        2.800    0.22    0.28
3EZJF       126      XRAY        2.800    0.19    0.24
2Y36H       220      XRAY        2.700    0.23    0.25
1YEGH       222      XRAY        2.000    0.20    0.24
1RJCA       137      XRAY        1.400    0.22    0.23
1CT8D       220      XRAY        2.200    0.21    0.28
2NY1D       229      XRAY        1.990    0.21    0.25
3SKJH       231      XRAY        2.500    0.22    0.27
1C12B       220      XRAY        2.600    0.20    0.27
1LO0H       220      XRAY        2.000    0.21    0.26
3OR6A       219      XRAY        2.700    0.23    0.27
1MFCH       219      XRAY        2.100    0.16    1.00
2YBRG       117      XRAY        2.550    0.20    0.25
3HR5J       226      XRAY        2.400    0.21    0.25
2ZPKH       216      XRAY        1.800    0.17    0.20
3QQ9D       227      XRAY        1.640    0.17    0.22
2J4WH       225      XRAY        2.500    0.19    0.24
2AJUH       219      XRAY        1.500    0.18    0.23
1MIMH       215      XRAY        2.600    0.20    1.00
2VXSK       225      XRAY        2.630    0.21    0.26
3QCVH       223      XRAY        2.510    0.22    0.27
2R0WH       223      XRAY        2.500    0.21    0.28
3JUYC       256      XRAY        2.500    0.20    0.26
15C8H       217      XRAY        2.500    0.19    0.25
1AR1C       127      XRAY        2.700    0.21    0.26
1K6QH       216      XRAY        2.400    0.23    0.30
2ORBH       228      XRAY        2.200    0.26    0.32
1BOGB       213      XRAY        2.600    0.25    0.31
1LO3H       220      XRAY        2.300    0.21    0.26
3TV3H       239      XRAY        1.290    0.16    0.18
3QEHE       232      XRAY        2.590    0.22    0.25
2E27H       126      XRAY        1.700    0.20    0.21
1BFOH       216      XRAY        2.600    0.19    0.26
3OKKB       222      XRAY        1.950    0.20    0.23
2WZPK       123      XRAY        2.600    0.18    0.21
3AAZA       229      XRAY        2.200    0.21    0.27
2VYRL       153      XRAY        2.000    0.21    0.25
1HZHK       457      XRAY        2.700    0.23    0.27
3IFOA       226      XRAY        2.150    0.17    0.22
1YEJH       222      XRAY        1.850    0.21    0.25
3K80B       130      XRAY        2.400    0.23    0.28
1SJVA       114      XRAY        1.940    0.21    0.23
1YZZB       124      XRAY        2.700    0.24    0.29
1OARH       122      XRAY        2.230    0.20    0.24
1YQVH       215      XRAY        1.700    0.20    0.23
3AUVC       276      XRAY        2.400    0.22    0.25
1NGWB       216      XRAY        2.600    0.28    0.32
1A6VJ       120      XRAY        1.800    0.30    1.00
1NBVH       219      XRAY        2.000    0.25    1.00
2ZNXB       242      XRAY        2.300    0.20    0.23
3G5VB       213      XRAY        2.000    0.23    0.28
3QXWE       126      XRAY        1.850    0.19    0.24
1Q1JH       231      XRAY        2.500    0.25    0.28
3EO0B       225      XRAY        1.750    0.18    0.20
2BSEE       123      XRAY        2.700    0.25    0.29
3B2UW       223      XRAY        2.580    0.23    0.29
3QXVE       126      XRAY        2.500    0.23    0.28
1ZA6B       344      XRAY        2.800    0.25    0.30
1AXSB       221      XRAY        2.600    0.20    0.30
3CFIL       116      XRAY        2.580    0.23    0.28
3CLEH       220      XRAY        2.500    0.23    0.27
1EHLH       219      XRAY        2.400    0.20    0.28
1MQKH       127      XRAY        1.280    0.14    0.20
3MUGB       241      XRAY        2.490    0.21    0.25
1D6VH       221      XRAY        2.000    0.22    0.26
3LMJH       231      XRAY        2.200    0.19    0.22
3RVWD       255      XRAY        1.950    0.16    0.20
2P42D       123      XRAY        1.800    0.17    0.21
1KXTD       127      XRAY        2.000    0.20    0.24
3QEHA       232      XRAY        2.590    0.22    0.25
1NJ9H       215      XRAY        2.350    0.20    0.28
1A6WH       120      XRAY        2.000    0.17    1.00
3EYFD       242      XRAY        2.300    0.21    0.23
3DGGD       229      XRAY        2.300    0.19    0.25
3C6SH       217      XRAY        1.800    0.19    0.25
1KXVD       121      XRAY        1.600    0.20    0.23
3FZUC       223      XRAY        2.500    0.21    0.26
2VYRJ       153      XRAY        2.000    0.21    0.25
3DSFH       216      XRAY        2.800    0.24    0.30
1OAXJ       122      XRAY        2.670    0.24    0.28
2OTUB       118      XRAY        1.680    0.20    0.21
3QXVC       126      XRAY        2.500    0.23    0.28
3GGWD       217      XRAY        1.700    0.20    0.24
3VG9C       226      XRAY        2.700    0.21    0.25
1EMTH       213      XRAY        2.250    0.18    0.24
3LD8C       221      XRAY        2.700    0.23    0.26
1Y0LB       226      XRAY        2.500    0.21    0.24
3B2UC       223      XRAY        2.580    0.23    0.29
1A0QH       217      XRAY        2.300    0.20    0.28
1NBZB       210      XRAY        1.850    0.23    0.23
1CICD       218      XRAY        2.500    0.18    1.00
3L95B       227      XRAY        2.190    0.23    0.27
35C8H       217      XRAY        2.000    0.21    0.26
3O2WH       227      XRAY        2.550    0.21    0.25
1DFBH       229      XRAY        2.700    0.18    1.00
1MEXH       215      XRAY        1.250    0.15    0.21
3PP4H       224      XRAY        1.600    0.14    0.19
3INUM       226      XRAY        2.500    0.20    0.25
4D9QH       217      XRAY        2.280    0.19    0.23
3HZKB       226      XRAY        2.150    0.22    0.26
2V7NF       229      XRAY        1.920    0.15    0.20
1NFDH       222      XRAY        2.800    0.24    0.31
1YYLH       229      XRAY        2.750    0.20    0.28
2AGJH       226      XRAY        2.600    0.23    0.28
2XT1B       121      XRAY        1.320    0.16    0.18
3HI6X       220      XRAY        2.300    0.17    0.23
6FABH       222      XRAY        1.900    0.21    1.00
2OJZI       216      XRAY        2.730    0.20    0.26
3V6OD       221      XRAY        1.950    0.17    0.21
2VYRG       153      XRAY        2.000    0.21    0.25
3RPIA       229      XRAY        2.650    0.21    0.26
2DQGH       114      XRAY        2.300    0.20    0.25
2AK1H       219      XRAY        1.850    0.22    0.24
3EO0D       225      XRAY        1.750    0.18    0.20
1OAYI       122      XRAY        2.660    0.23    0.28
1OARJ       122      XRAY        2.230    0.20    0.24
2G75A       245      XRAY        2.280    0.22    0.28
1MFAH       120      XRAY        1.700    0.17    1.00
2G5BF       222      XRAY        2.300    0.23    0.28
2OTUD       118      XRAY        1.680    0.20    0.21
2A6IB       222      XRAY        2.500    0.25    0.26
3NGBH       224      XRAY        2.680    0.20    0.26
3EOTH       226      XRAY        1.900    0.24    0.27
1NAKH       214      XRAY        2.570    0.29    0.33
1IC4H       114      XRAY        2.500    0.18    0.28
2IQ9H       223      XRAY        2.300    0.21    0.28
3MLUH       226      XRAY        2.770    0.20    0.31
3LDBC       221      XRAY        2.700    0.25    0.28
3AAZH       229      XRAY        2.200    0.21    0.27
1C08B       114      XRAY        2.300    0.17    0.17
2A9MH       126      XRAY        2.100    0.21    0.26
1HH6B       213      XRAY        2.600    0.29    0.34
1Y0LD       226      XRAY        2.500    0.21    0.24
1FE8H       210      XRAY        2.030    0.23    0.26
1ETZB       228      XRAY        2.600    0.21    0.29
1OTSC       222      XRAY        2.510    0.26    0.30
3A6CH       114      XRAY        1.800    0.19    0.22
1A4KB       219      XRAY        2.400    0.21    0.29
1PSKH       209      XRAY        2.800    0.20    0.33
1GPOH       221      XRAY        1.950    0.21    0.28
1DVFB       116      XRAY        1.900    0.19    0.25
1FDLH       218      XRAY        2.500    0.18    1.00
2Y5TA       232      XRAY        2.200    0.19    0.24
2GJJA       264      XRAY        2.100    0.19    0.23
1UZ6P       217      XRAY        2.050    0.20    0.24
3NH7H       234      XRAY        2.700    0.24    0.28
1HEZB       224      XRAY        2.700    0.21    0.28
1CGSH       214      XRAY        2.600    0.22    1.00
1U93B       235      XRAY        2.370    0.24    0.23
3HB3C       127      XRAY        2.250    0.22    0.28
1UJ3B       217      XRAY        2.100    0.20    0.23
1OL0A       121      XRAY        1.800    0.16    0.18
3OKLB       222      XRAY        1.800    0.19    0.24
3QNZB       220      XRAY        2.200    0.20    0.23
3RKDD       230      XRAY        1.900    0.19    0.22
1WC7H       226      XRAY        2.330    0.22    0.31
1IL1A       219      XRAY        2.200    0.19    0.25
1BFOD       216      XRAY        2.600    0.19    0.26
2FX8H       227      XRAY        2.200    0.23    0.28
2UYLW       221      XRAY        2.500    0.21    0.26
3LN9A       139      XRAY        1.800    0.20    0.23
2FX7H       228      XRAY        1.760    0.21    0.22
3D9AH       210      XRAY        1.200    0.19    0.20
1P7KH       224      XRAY        1.750    0.20    0.23
2OSLH       224      XRAY        2.600    0.24    0.30
3BN9F       257      XRAY        2.170    0.23    0.27
1DBJH       219      XRAY        2.700    0.21    1.00
3IF1D       217      XRAY        2.390    0.23    0.28
3B9KD       214      XRAY        2.700    0.24    0.28
3CFBH       213      XRAY        1.600    0.19    0.22
3T3MH       221      XRAY        2.600    0.18    0.22
3L7EB       230      XRAY        2.500    0.20    0.25
3EBAA       127      XRAY        1.850    0.21    0.26
1A5FH       217      XRAY        2.800    0.20    1.00
3CFDB       220      XRAY        2.500    0.21    0.24
1R3JB       219      XRAY        1.900    0.21    0.23
3PNWH       246      XRAY        2.050    0.22    0.26
3QO1B       220      XRAY        2.400    0.17    0.22
2DDQH       213      XRAY        2.350    0.23    0.26
1Q0YH       221      XRAY        2.000    0.19    0.24
3CFKI       227      XRAY        2.600    0.22    0.24
2DQEH       114      XRAY        1.900    0.19    0.22
43CAH       117      XRAY        2.300    0.21    0.26
3KYMD       227      XRAY        2.620    0.27    0.34
3I9GH       222      XRAY        1.900    0.19    0.22
1CFTB       213      XRAY        2.800    0.24    0.33
1MOEA       240      XRAY        2.600    0.25    0.30
2FX8I       227      XRAY        2.200    0.23    0.28
3EYUH       226      XRAY        2.710    0.18    0.25
3QXWB       126      XRAY        1.850    0.19    0.24
1D5BH       221      XRAY        2.800    0.24    0.28
3QWOA       225      XRAY        1.900    0.19    0.23
1WZ1H       123      XRAY        1.850    0.22    0.25
3UYPA       253      XRAY        2.000    0.18    0.20
1KCUH       217      XRAY        2.200    0.20    0.25
3SOBH       256      XRAY        1.900    0.18    0.21
1U8IB       235      XRAY        2.000    0.23    0.25
1A4KH       219      XRAY        2.400    0.21    0.29
1R3KB       219      XRAY        2.800    0.24    0.27
1OSPH       218      XRAY        1.950    0.23    0.29
3IXTA       225      XRAY        2.750    0.22    0.27
1S5HB       219      XRAY        2.200    0.23    0.24
1WEJH       223      XRAY        1.800    0.20    0.26
1DQJB       210      XRAY        2.000    0.22    0.25
3LRSE       238      XRAY        2.370    0.21    0.26
1I8IB       124      XRAY        2.400    0.18    0.26
3UZEA       253      XRAY        2.040    0.22    0.23
3K1KD       123      XRAY        2.150    0.21    0.26
3MLTH       226      XRAY        2.490    0.21    0.28
3IKCD       226      XRAY        2.600    0.24    0.29
1XF4H       230      XRAY        2.500    0.19    0.22
1AD9B       219      XRAY        2.800    0.23    0.28
3S34H       221      XRAY        2.200    0.18    0.22
1FJ1B       213      XRAY        2.680    0.23    0.28
1MELB       148      XRAY        2.500    0.22    0.32
1BGXH       213      XRAY        2.300    0.19    0.25
1F58H       228      XRAY        2.000    0.20    0.26
1XGTB       210      XRAY        2.100    0.25    0.29
3KR3H       251      XRAY        2.200    0.20    0.25
1C5DH       215      XRAY        2.400    0.20    0.30
1LO2Y       220      XRAY        2.000    0.21    0.25
2HKFH       218      XRAY        2.010    0.18    0.24
3B9KH       214      XRAY        2.700    0.24    0.28
1C5CH       215      XRAY        1.610    0.19    0.25
2GSGD       118      XRAY        2.100    0.23    0.25
2ITDA       219      XRAY        2.700    0.24    0.26
3U6RA       149      XRAY        2.670    0.20    0.23
1Y0LH       226      XRAY        2.500    0.21    0.24
2VXUH       216      XRAY        2.360    0.19    0.24
3BT2H       214      XRAY        2.500    0.23    0.27
1MVFA       135      XRAY        1.650    0.22    0.25
3HNSH       220      XRAY        2.000    0.17    0.22
1KFAI       221      XRAY        2.800    0.24    0.31
4AEII       229      XRAY        2.300    0.20    0.25
4D9LI       223      XRAY        2.480    0.18    0.24
2A9MI       126      XRAY        2.100    0.21    0.26
2VL5C       218      XRAY        2.100    0.22    0.29
3HI6H       220      XRAY        2.300    0.17    0.23
1MRFH       215      XRAY        2.400    0.18    1.00
1T4KD       217      XRAY        2.500    0.23    0.28
1U92B       234      XRAY        2.240    0.23    0.25
3P9WF       123      XRAY        2.410    0.20    0.23
2AJ3B       228      XRAY        2.030    0.23    0.27
3O0RH       225      XRAY        2.700    0.19    0.25
3IDXH       231      XRAY        2.500    0.18    0.24
1RULH       222      XRAY        1.880    0.21    0.28
3MODH       237      XRAY        2.200    0.19    0.21
1OP9A       121      XRAY        1.860    0.20    0.24
1XGQB       210      XRAY        2.100    0.23    0.28
1F4WH       216      XRAY        2.300    0.20    0.26
1IGJD       218      XRAY        2.500    0.18    1.00
3BZ4F       217      XRAY        1.800    0.18    0.23
2R1XB       222      XRAY        1.600    0.22    0.24
1JGVH       218      XRAY        1.850    0.21    0.25
2HFFB       232      XRAY        1.950    0.19    0.22
2AJ3D       228      XRAY        2.030    0.23    0.27
1JRHH       219      XRAY        2.800    0.25    0.31
2NXZD       229      XRAY        2.040    0.21    0.24
1DQQB       210      XRAY        1.800    0.21    0.26
1CLZH       218      XRAY        2.800    0.20    0.29
3V6OC       221      XRAY        1.950    0.17    0.21
1CT8B       220      XRAY        2.200    0.21    0.28
2UZIH       114      XRAY        2.000    0.20    0.27
1A6TD       217      XRAY        2.700    0.17    0.27
1XGPB       210      XRAY        2.100    0.21    0.27
1NAKI       214      XRAY        2.570    0.29    0.33
2FB4H       229      XRAY        1.900    0.19    1.00
3DURB       121      XRAY        1.860    0.18    0.25
2BMKB       226      XRAY        2.300    0.21    0.27
1AP2B       123      XRAY        2.360    0.20    0.28
2AEPH       217      XRAY        2.100    0.19    0.22
3Q1SH       230      XRAY        2.150    0.21    0.26
3CMOH       222      XRAY        2.300    0.25    0.29
2DQUH       224      XRAY        1.700    0.21    0.25
1E4WH       213      XRAY        1.950    0.20    0.27
3D0LB       237      XRAY        2.350    0.21    0.23
3QHZH       232      XRAY        1.550    0.18    0.21
3PNWQ       246      XRAY        2.050    0.22    0.26
1N0XH       230      XRAY        1.800    0.23    0.25
3QXWC       126      XRAY        1.850    0.19    0.24
2G60H       215      XRAY        1.850    0.24    0.28
2OK0H       216      XRAY        1.890    0.18    0.20
3LH2J       137      XRAY        2.650    0.22    0.27
1CZ8H       218      XRAY        2.400    0.21    0.27
3QEHC       232      XRAY        2.590    0.22    0.25
2VXQH       216      XRAY        1.900    0.18    0.23
2BJMH       120      XRAY        2.150    0.27    0.29
2XQYG       261      XRAY        2.050    0.19    0.20
1M7DB       220      XRAY        2.300    0.22    0.28
3MLSI       226      XRAY        2.500    0.22    0.27
1FVDB       223      XRAY        2.500    0.18    1.00
3CXDH       216      XRAY        2.800    0.25    0.29
1ZTXH       219      XRAY        2.500    0.22    0.28
2B0SH       226      XRAY        2.300    0.22    0.27
1NSNH       210      XRAY        2.800    0.20    1.00
1JTOA       148      XRAY        2.500    0.21    0.24
1MH5H       230      XRAY        2.100    0.22    0.29
2HWZH       227      XRAY        1.800    0.19    1.00
2UYLY       221      XRAY        2.500    0.21    0.26
2R2HB       222      XRAY        2.000    0.22    0.26
4DKFI       226      XRAY        2.610    0.23    0.26
1QKZH       219      XRAY        1.950    0.21    0.26
1SHME       127      XRAY        1.900    0.19    0.24
2ZPKI       216      XRAY        1.800    0.17    0.20
3PNWK       246      XRAY        2.050    0.22    0.26
3I02B       224      XRAY        2.600    0.21    0.27
2V7NB       229      XRAY        1.920    0.15    0.20
2G5BH       222      XRAY        2.300    0.23    0.28
3OAYM       224      XRAY        1.950    0.18    0.22
1XF2H       230      XRAY        2.300    0.20    0.24
2Y07H       220      XRAY        2.400    0.23    0.26
3FB5A       219      XRAY        2.800    0.24    0.25
2PW1B       235      XRAY        2.600    0.21    0.24
1OP3M       225      XRAY        1.750    0.23    0.25
1NCWH       222      XRAY        1.300    0.16    0.21
2RCSH       217      XRAY        2.100    0.21    0.26
1IGTD       444      XRAY        2.800    0.21    0.30
43C9D       118      XRAY        2.200    0.21    0.27
1A6VI       120      XRAY        1.800    0.30    1.00
3HNVH       220      XRAY        2.000    0.18    0.23
1LMKC       238      XRAY        2.600    0.20    1.00
2X6MA       126      XRAY        1.620    0.16    0.20
1UB5A       209      XRAY        2.000    0.25    0.27
3FO2H       229      XRAY        2.180    0.20    0.26
3BKCH       228      XRAY        1.900    0.20    0.24
1Y18D       226      XRAY        2.800    0.22    0.25
1NDMB       210      XRAY        2.100    0.21    0.26
3U0TD       217      XRAY        2.500    0.22    0.27
3C5SB       217      XRAY        2.000    0.20    0.26
3B2UN       223      XRAY        2.580    0.23    0.29
3QCVI       223      XRAY        2.510    0.22    0.27
3JUYE       256      XRAY        2.500    0.20    0.26
1KXTF       127      XRAY        2.000    0.20    0.24
1YEEH       222      XRAY        2.200    0.20    0.26
3L7FB       224      XRAY        2.600    0.21    0.24
3CFBB       213      XRAY        1.600    0.19    0.22
2AP2B       122      XRAY        2.400    0.22    0.27
1IC5H       114      XRAY        2.300    0.17    0.25
3DVNH       230      XRAY        2.700    0.22    0.27
3AUVD       276      XRAY        2.400    0.22    0.25
1YEHH       222      XRAY        2.550    0.18    0.23
1HILB       220      XRAY        2.000    0.20    1.00
1HQ4B       218      XRAY        2.700    0.23    0.27
3EAKB       137      XRAY        1.950    0.21    0.25
3ESVG       252      XRAY        2.000    0.19    0.23
1J05H       121      XRAY        1.500    0.19    0.22
3S96A       220      XRAY        1.900    0.19    0.26
1RJLB       221      XRAY        2.600    0.19    0.23
1XF3B       230      XRAY        2.300    0.21    0.24
3V0AC       152      XRAY        2.700    0.18    0.22
1H8OA       252      XRAY        2.750    0.18    0.26
43CAB       117      XRAY        2.300    0.21    0.26
3IJSD       226      XRAY        2.550    0.22    0.26
2ZNWA       242      XRAY        2.710    0.20    0.25
3DUSD       121      XRAY        1.950    0.26    0.28
1VFAB       116      XRAY        1.800    0.16    1.00
3GNMH       223      XRAY        2.100    0.19    0.26
2HFGH       232      XRAY        2.610    0.20    0.25
3GGWB       217      XRAY        1.700    0.20    0.24
3RU8H       230      XRAY        2.070    0.17    0.20
3T65B       222      XRAY        1.450    0.20    0.21
1OAUI       122      XRAY        1.800    0.23    0.26
1Q9WD       226      XRAY        1.750    0.21    0.25
2B2XI       226      XRAY        2.200    0.24    0.27
4D9LJ       223      XRAY        2.480    0.18    0.24
1PLGH       215      XRAY        2.800    0.16    1.00
2VXVH       223      XRAY        1.490    0.15    0.18
2V7NH       229      XRAY        1.920    0.15    0.20
3GJEH       220      XRAY        2.300    0.23    0.30
1ZANH       224      XRAY        1.700    0.20    0.24
2V17H       222      XRAY        1.650    0.16    0.22
3KYMF       227      XRAY        2.620    0.27    0.34
3QCUI       223      XRAY        1.980    0.22    0.25
1HEZD       224      XRAY        2.700    0.21    0.28
2CJUH       121      XRAY        2.500    0.24    0.29
3OGOF       123      XRAY        2.800    0.20    0.25
3UTZF       225      XRAY        2.180    0.23    0.29
3STBB       132      XRAY        2.500    0.20    0.23
2A6JH       222      XRAY        2.700    0.23    0.27
1YC8A       124      XRAY        2.700    0.25    0.32
1U8NB       235      XRAY        2.560    0.20    0.23
1KN2H       222      XRAY        1.900    0.21    0.24
2V7HB       220      XRAY        2.800    0.24    0.27
2DQFE       114      XRAY        2.500    0.22    0.27
1UZ6H       217      XRAY        2.050    0.20    0.24
1NGPH       222      XRAY        2.400    0.20    0.25
1CICB       217      XRAY        2.500    0.18    1.00
2NLJB       219      XRAY        2.520    0.23    0.26
1TETH       210      XRAY        2.300    0.15    1.00
1GGIJ       222      XRAY        2.800    0.19    1.00
1ZVYA       136      XRAY        1.630    0.21    0.23
3T3ME       221      XRAY        2.600    0.18    0.22
3LEXH       221      XRAY        1.970    0.17    0.20
1SJXA       122      XRAY        2.200    0.20    0.21
3CFIF       116      XRAY        2.580    0.23    0.28
3HR5H       226      XRAY        2.400    0.21    0.25
1UWEV       218      XRAY        2.670    0.22    0.27
2XXCB       121      XRAY        1.670    0.18    0.21
1MOEB       240      XRAY        2.600    0.25    0.30
2P8PB       235      XRAY        2.700    0.24    0.27
2JELH       218      XRAY        2.500    0.21    0.28
3H3PH       137      XRAY        2.700    0.23    0.29
1RZGC       231      XRAY        2.000    0.20    0.25
3T4YB       222      XRAY        1.730    0.20    0.23
4DCQB       218      XRAY        1.940    0.19    0.25
3QCTH       223      XRAY        2.150    0.24    0.29
1IQWH       230      XRAY        2.500    0.17    0.24
1OAYK       122      XRAY        2.660    0.23    0.28
1KCSH       217      XRAY        2.500    0.21    0.28
3L5WH       230      XRAY        2.000    0.21    0.25
1MCPH       222      XRAY        2.700    0.23    1.00
1IGFH       221      XRAY        2.800    0.18    1.00
3T2NH       225      XRAY        2.550    0.24    0.28
2XKNB       216      XRAY        1.400    0.14    0.18
3EYVH       222      XRAY        2.500    0.21    0.26
3LHPH       137      XRAY        2.700    0.25    0.34
2O5ZH       227      XRAY        2.400    0.17    0.22
3L7EH       230      XRAY        2.500    0.20    0.25
2FBJH       220      XRAY        1.950    0.19    1.00
2X1QB       127      XRAY        1.060    0.21    0.23
1BBDH       218      XRAY        2.800    0.19    1.00
1YMHD       218      XRAY        2.600    0.23    0.30
1F2XK       135      XRAY        2.100    0.19    0.27
2OSLA       224      XRAY        2.600    0.24    0.30
2IBZX       127      XRAY        2.300    0.22    0.26
3QXUA       126      XRAY        1.800    0.18    0.21
2AJ3F       228      XRAY        2.030    0.23    0.27
3CFDH       220      XRAY        2.500    0.21    0.24
3KYML       227      XRAY        2.620    0.27    0.34
2F58H       228      XRAY        2.800    0.18    0.30
1DVFD       121      XRAY        1.900    0.19    0.25
3A67H       114      XRAY        1.800    0.19    0.23
2R1YB       222      XRAY        1.600    0.23    0.26
2X1OA       122      XRAY        1.340    0.21    0.24
1SVZB       247      XRAY        1.890    0.20    0.24
3DGGB       229      XRAY        2.300    0.19    0.25
3MUGL       241      XRAY        2.490    0.21    0.25
1MVUB       121      XRAY        1.780    0.20    0.22
2XWTA       221      XRAY        1.900    0.18    0.23
1ZLVM       224      XRAY        2.330    0.21    0.25
1VFBB       116      XRAY        1.800    0.18    1.00
3Q6GH       234      XRAY        1.900    0.19    0.23
3U30C       227      XRAY        2.430    0.23    0.26
3FO2B       229      XRAY        2.180    0.20    0.26
1UWEH       218      XRAY        2.670    0.22    0.27
1RZ8D       228      XRAY        2.300    0.21    0.26
1Y0LF       226      XRAY        2.500    0.21    0.24
1BLNB       218      XRAY        2.800    0.21    0.29
1OHQB       120      XRAY        2.000    0.18    0.26
1ND0H       222      XRAY        2.450    0.24    0.29
1DZBA       253      XRAY        2.000    0.23    0.31
1H0DB       223      XRAY        2.000    0.23    0.27
3BZ4D       217      XRAY        1.800    0.18    0.23
2WZPE       123      XRAY        2.600    0.18    0.21
3OKNB       222      XRAY        2.150    0.22    0.27
1KC5H       217      XRAY        2.500    0.20    0.27
3MA9H       245      XRAY        2.050    0.19    0.24
1MRDH       215      XRAY        2.300    0.20    1.00
1YEFH       222      XRAY        2.000    0.20    0.25
3U6RH       149      XRAY        2.670    0.20    0.23
3UJIH       223      XRAY        1.600    0.16    0.19
3MCLH       228      XRAY        1.700    0.20    0.26
1IQDB       215      XRAY        2.000    0.20    0.25
3SGEJ       217      XRAY        1.890    0.18    0.21
3P9WD       123      XRAY        2.410    0.20    0.23
3LH2H       137      XRAY        2.650    0.22    0.27
1NCBH       221      XRAY        2.500    0.17    1.00
43C9F       118      XRAY        2.200    0.21    0.27
1R0AH       225      XRAY        2.800    0.24    0.27
2CGRH       214      XRAY        2.200    0.21    1.00
1U8JB       235      XRAY        2.240    0.23    0.24
3LS5H       219      XRAY        1.900    0.21    0.24
1WT5B       127      XRAY        2.100    0.27    0.30
1OM3H       225      XRAY        2.200    0.23    0.27
2NY4D       229      XRAY        2.000    0.20    0.24
1HCVA       117      XRAY        1.850    0.17    0.22
1T4KB       217      XRAY        2.500    0.23    0.28
1MH5B       230      XRAY        2.100    0.22    0.29
2PW2B       235      XRAY        2.550    0.22    0.24
1BZQL       124      XRAY        2.800    0.22    0.28
3RVTD       255      XRAY        2.050    0.20    0.23
3G6AH       229      XRAY        2.100    0.21    0.28
2P44B       123      XRAY        1.800    0.20    0.24
2DQJH       114      XRAY        1.800    0.19    0.22
1UB6H       208      XRAY        2.120    0.26    0.29
1WCBH       226      XRAY        2.500    0.22    0.29
3CFKB       227      XRAY        2.600    0.22    0.24
1CR9H       217      XRAY        2.000    0.17    0.22
3CXHJ       127      XRAY        2.500    0.23    0.26
1LMKA       238      XRAY        2.600    0.20    1.00
3CX5J       127      XRAY        1.900    0.24    0.26
2JB5H       244      XRAY        2.800    0.21    0.27
1GC1H       229      XRAY        2.500    0.21    0.30
3I02D       224      XRAY        2.600    0.21    0.27
3FO1B       229      XRAY        2.200    0.23    0.28
2XA3A       127      XRAY        1.500    0.17    0.19
1RUQH       218      XRAY        1.860    0.22    0.26
3GBNH       226      XRAY        2.200    0.21    0.24
1UWEY       218      XRAY        2.670    0.22    0.27
2WZPL       123      XRAY        2.600    0.18    0.21
2AP2D       122      XRAY        2.400    0.22    0.27
1ZA6H       344      XRAY        2.800    0.25    0.30
1V7MI       217      XRAY        2.510    0.23    0.32
43C9H       118      XRAY        2.200    0.21    0.27
2W65C       218      XRAY        2.210    0.24    0.28
3BZ4H       217      XRAY        1.800    0.18    0.23
3NIDE       221      XRAY        2.300    0.18    0.21
1LK3I       219      XRAY        1.910    0.19    0.24
3PNWW       246      XRAY        2.050    0.22    0.26
2IH1A       219      XRAY        2.400    0.23    0.25
1HI6B       213      XRAY        2.550    0.28    0.33
1LMKG       238      XRAY        2.600    0.20    1.00
1KXQE       120      XRAY        1.600    0.20    0.22
2FD6H       213      XRAY        1.900    0.24    0.28
